student_id,class_year,residence,chronotype,study_method,study_spot,caffeine,exam_score,sleep_hours,screen_hours,gpa,stress_wk1,stress_wk6,stress_wk12,q1_belonging,q2_support,q3_workload,q4_facilities,q5_recommend
S001,First-year,On campus,Early bird,Cramming,Library,0 cups,79,8.1,4.7,3.27,5.9,9.0,4.3,4,3,2,4.0,3
S002,Sophomore,On campus,Somewhere between,Cramming,Dorm room,1 cup,50,6.6,4.9,2.66,2.2,4.3,7.0,1,1,5,1.0,2
S003,Sophomore,Off campus,Night owl,Mixed,Coffee shop,1 cup,77,5.6,7.2,2.84,2.4,3.9,5.5,4,4,2,4.0,3
S004,Junior,On campus,Night owl,Spaced,Outdoors,1 cup,62,7.2,8.6,2.65,6.3,4.1,5.8,3,4,2,5.0,3
S005,Senior,On campus,Early bird,Mixed,Dorm room,2-3 cups,84,6.2,2.3,3.23,3.9,4.9,7.0,4,5,3,2.0,3
S006,First-year,On campus,Somewhere between,Mixed,Dorm room,4+ cups,49,5.2,7.9,3.15,2.1,3.2,5.6,3,4,1,4.0,4
S007,Sophomore,On campus,Somewhere between,Spaced,Dorm room,1 cup,70,6.7,7.6,3.16,3.7,4.3,7.9,4,5,3,4.0,3
S008,Sophomore,On campus,Night owl,Mixed,Coffee shop,0 cups,65,7.4,5.8,2.42,2.6,4.7,4.0,5,5,3,5.0,3
S009,First-year,Off campus,Early bird,Cramming,Library,0 cups,53,7.8,2.5,3.24,4.6,2.7,4.9,5,5,2,4.0,5
S010,First-year,On campus,Somewhere between,Mixed,Dorm room,0 cups,51,6.5,6.6,1.96,3.0,4.0,4.9,4,3,2,2.0,4
S011,First-year,On campus,Night owl,Mixed,Library,2-3 cups,73,8.2,4.3,2.62,7.0,5.2,6.5,3,2,5,3.0,1
S012,Senior,Off campus,Somewhere between,Spaced,Coffee shop,1 cup,59,6.8,14.0,1.94,7.3,7.2,9.1,2,5,5,2.0,1
S013,Junior,On campus,Night owl,Cramming,Dorm room,1 cup,58,6.3,4.7,2.72,5.3,5.8,,3,4,2,3.0,2
S014,Senior,On campus,Night owl,Mixed,Library,2-3 cups,71,7.3,3.6,3.56,2.5,5.1,2.8,4,3,3,4.0,4
S015,First-year,On campus,Somewhere between,Spaced,Coffee shop,2-3 cups,83,6.8,4.1,3.9,4.3,7.8,7.2,3,3,4,1.0,1
S016,Senior,Off campus,Somewhere between,Cramming,Library,2-3 cups,73,6.2,3.4,2.54,2.7,5.4,7.7,3,3,4,,2
S017,First-year,On campus,Early bird,Spaced,Library,0 cups,82,8.2,2.5,3.08,6.3,5.5,8.2,5,5,3,3.0,3
S018,Junior,Off campus,Night owl,Cramming,Outdoors,4+ cups,62,6.5,7.4,2.87,7.3,4.0,5.3,1,2,5,2.0,1
S019,Senior,Off campus,Somewhere between,Mixed,Coffee shop,0 cups,59,7.2,8.3,3.05,2.7,1.9,4.9,5,5,3,3.0,4
S020,First-year,On campus,Night owl,Cramming,Library,1 cup,56,7.0,3.9,2.98,4.0,5.8,5.1,5,4,1,5.0,3
S021,Junior,On campus,Somewhere between,Mixed,Library,0 cups,78,7.9,5.7,2.9,3.0,3.7,5.8,3,4,5,4.0,1
S022,Senior,Off campus,Somewhere between,Spaced,Dorm room,0 cups,78,9.3,4.7,3.94,2.7,4.0,5.8,4,5,2,5.0,4
S023,Sophomore,Off campus,Somewhere between,Mixed,Outdoors,1 cup,60,7.8,3.1,3.12,4.7,4.3,5.1,3,4,4,1.0,1
S024,Sophomore,On campus,Somewhere between,Cramming,Library,1 cup,55,,7.3,2.38,4.9,5.8,5.1,4,4,4,2.0,3
S025,First-year,On campus,Night owl,Mixed,Coffee shop,0 cups,78,7.6,3.9,3.61,3.2,4.9,7.7,4,5,1,3.0,4
S026,First-year,On campus,Somewhere between,Spaced,Dorm room,2-3 cups,76,7.3,5.0,2.94,6.2,5.5,5.7,2,3,2,3.0,3
S027,First-year,On campus,Early bird,Cramming,Coffee shop,0 cups,75,9.6,5.0,3.32,2.1,4.3,5.9,5,5,2,3.0,4
S028,Sophomore,On campus,Somewhere between,Mixed,Library,0 cups,91,8.5,3.2,3.09,2.9,0.0,2.7,5,5,2,5.0,3
S029,Sophomore,Off campus,Early bird,Cramming,Library,0 cups,62,7.1,2.2,2.56,7.1,4.3,6.5,1,3,3,5.0,3
S030,First-year,On campus,Night owl,Cramming,Coffee shop,2-3 cups,57,5.5,4.4,3.13,5.9,4.7,7.8,2,4,3,1.0,3
S031,Sophomore,On campus,Somewhere between,Spaced,Dorm room,0 cups,76,8.1,7.4,2.85,6.7,6.7,8.0,4,5,2,5.0,5
S032,First-year,On campus,Somewhere between,Mixed,Coffee shop,0 cups,72,9.2,7.0,3.74,5.9,5.3,7.6,4,2,2,5.0,4
S033,Sophomore,Off campus,Night owl,Spaced,Coffee shop,1 cup,61,6.4,5.4,3.45,4.7,4.0,3.6,5,4,3,5.0,4
S034,Sophomore,Off campus,Somewhere between,Cramming,Coffee shop,2-3 cups,77,6.9,4.4,2.47,2.9,6.7,5.6,5,4,3,5.0,3
